dir	vel
224.6	6.2
202.2	8.46
200.8	6.2
206.4	6.2
205	7.9
206.4	6.2
210.6	7.31
205	6.76
213.4	5.08
213.4	7.31
196.5	5.64
209.2	5.64
212	7.31
220.4	5.64
214.8	6.76
212	7.9
212	7.9
205	6.76
220.4	6.2
214.8	3.94
234.5	3.94
202.2	5.64
214.8	6.76
205	5.08
213.4	5.64
209.2	5.64
193.7	5.08
200.8	5.08
214.8	4.5
210.6	4.5
206.4	3.38
209.2	3.94
226	3.94
212	3.94
221.8	3.38
214.8	3.38
223.2	3.38
217.6	3.38
209.2	2.82
213.4	2.82
196.5	3.38
209.2	3.38
216.2	2.82
192.3	0.56
233.1	1.12
203.6	1.12
216.2	1.7
210.6	1.7
199.4	2.26
199.4	3.38
213.4	1.7
206.4	1.12
195.1	2.26
216.2	2.82
207.8	2.82
205	2.82
214.8	2.26
212	3.38
210.6	2.82
195.1	2.82
220.4	3.94
188.1	5.08
207.8	5.08
219	5.64
235.9	6.76
212	12.39
219	8.46
227.4	7.9
213.4	9.01
216.2	6.76
210.6	6.2
202.2	6.76
203.6	9.57
209.2	10.69
192.3	9.01
205	9.01
203.6	8.46
219	7.31
216.2	3.94
231.6	2.82
240.1	3.38
238.7	1.7
217.6	3.38
206.4	5.64
213.4	5.08
206.4	5.08
231.6	3.94
210.6	5.64
206.4	6.2
202.2	4.5
200.8	5.08
205	3.94
196.5	3.94
214.8	1.12
258.3	1.12
271	1.7
286.4	2.82
279.4	2.82
283.6	2.26
275.2	2.82
266.7	0.56
273.8	0
273.8	0
249.9	0
269.6	2.26
279.4	2.82
286.4	4.5
269.6	3.94
258.3	3.94
251.3	1.12
254.1	2.26
263.9	2.82
275.2	2.26
282.2	1.7
289.2	2.82
282.2	2.82
292	4.5
293.4	3.94
289.2	5.08
269.6	3.94
241.5	2.26
271	6.76
263.9	7.31
256.9	7.31
265.3	14.09
283.6	11.83
279.4	10.69
278	8.46
285	10.69
287.8	9.57
286.4	8.46
273.8	7.31
269.6	6.2
282.2	4.5
271	5.64
283.6	5.64
296.2	6.2
297.6	5.08
283.6	5.64
279.4	6.2
276.6	7.31
278	7.9
283.6	7.31
285	7.31
273.8	6.76
276.6	5.08
279.4	5.08
279.4	6.2
269.6	5.64
278	5.08
279.4	5.64
283.6	5.64
283.6	6.76
279.4	6.76
272.4	6.76
271	7.31
